trip id,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,count
104_384,104,42.380287,-71.125107,384,42.35155308,-71.07569031,1
104_39,104,42.380287,-71.125107,39,42.3385146,-71.07404083,2
104_42,104,42.380287,-71.125107,42,42.35205477,-71.07048687,3
104_52,104,42.380287,-71.125107,52,42.348717,-71.085954,1
104_54,104,42.380287,-71.125107,54,42.354979,-71.063348,1
104_6,104,42.380287,-71.125107,6,42.36121165,-71.0653062,1
104_67,104,42.380287,-71.125107,67,42.3581,-71.093198,3
104_68,104,42.380287,-71.125107,68,42.36507,-71.1031,4
104_70,104,42.380287,-71.125107,70,42.3722168,-71.12188071,18
104_71,104,42.380287,-71.125107,71,42.383405,-71.107593,1
104_73,104,42.380287,-71.125107,73,42.373231,-71.120886,21
104_74,104,42.380287,-71.125107,74,42.373268,-71.118579,31
104_75,104,42.380287,-71.125107,75,42.36346469,-71.10057324,2
104_76,104,42.380287,-71.125107,76,42.366426,-71.105495,7
104_79,104,42.380287,-71.125107,79,42.37842,-71.105668,8
104_80,104,42.380287,-71.125107,80,42.36213123,-71.09115601,2
104_86,104,42.380287,-71.125107,86,42.33299892,-71.11634426,4
104_87,104,42.380287,-71.125107,87,42.366621,-71.114214,4
104_89,104,42.380287,-71.125107,89,42.379011,-71.119945,5
104_9,104,42.380287,-71.125107,9,42.35169202,-71.11903489,3
104_96,104,42.380287,-71.125107,96,42.373379,-71.111075,6
104_97,104,42.380287,-71.125107,97,42.36919032,-71.11714125,3
105_10,105,42.3572185,-71.11387163,10,42.350406,-71.108279,3
105_104,105,42.3572185,-71.11387163,104,42.380287,-71.125107,1
105_105,105,42.3572185,-71.11387163,105,42.3572185,-71.11387163,5
105_107,105,42.3572185,-71.11387163,107,42.3625,-71.08822,6
105_108,105,42.3572185,-71.11387163,108,42.377945,-71.116865,1
105_109,105,42.3572185,-71.11387163,109,42.36590788,-71.06446669,1
105_11,105,42.3572185,-71.11387163,11,42.338629,-71.1065,8
105_110,105,42.3572185,-71.11387163,110,42.376369,-71.114025,3
105_115,105,42.3572185,-71.11387163,115,42.387995,-71.119084,3
105_117,105,42.3572185,-71.11387163,117,42.36616223,-71.08688294,2
105_12,105,42.3572185,-71.11387163,12,42.33624445,-71.08798563,2
